Titre,Description,DateEvent,Nbr Participant,Nbr Restant,Link,Nbr Total
May 2022 Meetup,"City Corgi Collective • New York, NY","SUN, MAY 22 · 6:00 PM UTC+2",16 attendees,No place left,https://www.meetup.com/city-corgi-collective/events/285669910,16
Sunday Brunch at Blue!,"Staten Island Brunch and Lunch Friends • Staten Island, NY","SUN, MAY 22 · 7:00 PM UTC+2",10 attendees,No place left,https://www.meetup.com/staten-island-brunch-friends/events/285660598,10
Halal Thai Food !!,"NYC, LI, & NJ Desi/Middle Eastern Meetup • New York, NY","SUN, MAY 22 · 7:00 PM UTC+2",10 attendees,No place left,https://www.meetup.com/nyc-li-nj-desi-meetup/events/285826618,10
"""Drive Your Plow Over the Bones of the Dead,"" by Olga Tokarczuk","The Millennialish Book Club • New York, NY","SUN, MAY 22 · 8:00 PM UTC+2",41 attendees,No place left,https://www.meetup.com/NYC-20-something-book-club/events/282104024,41
Discussion: Purpose,"New York Interesting Conversations • New York, NY","SUN, MAY 22 · 8:00 PM UTC+2",34 attendees,No place left,https://www.meetup.com/new-york-conversations/events/285557050,34
Picnic in Central Park,"Gay Parenting - LGBT Future Parents • New York, NY","SUN, MAY 22 · 9:00 PM UTC+2",7 attendees,No place left,https://www.meetup.com/gay-parenting-lgbt-future-parents/events/285693902,7
Picknick im Freien,"Gay German Conversation Group: Stammtisch • New York, NY","SUN, MAY 22 · 9:00 PM UTC+2",25 attendees,No place left,https://www.meetup.com/Gay-German-Conversation-Group-Stammtisch/events/285635411,25
Kool Weridos Merch Party,"Kool Weridos • New York, NY","SUN, MAY 22 · 9:00 PM UTC+2",5 attendees,No place left,https://www.meetup.com/new-york-partying-meetup-group/events/285830166,5
Writer Friends Online Hangout,"Passaic County Writer Friends • Montclair, NJ","SUN, MAY 22 · 10:00 PM UTC+2",7 attendees,No place left,https://www.meetup.com/montclair-writer-friends-meetup-group/events/285797757,7
Harlem Bitcoin Community Meetup .00000003 #BitcoinPizzaDay 🍕🍕,"Harlem Bitcoin Community • New York, NY","SUN, MAY 22 · 11:00 PM UTC+2",38 attendees,No place left,https://www.meetup.com/harlem-bitcoin-community/events/285571266,38
TOPSPIN - The NYC Ping Pong Meetup Group,"TOPSPIN - The NYC Ping Pong Meetup Group • New York, NY","SUN, MAY 22 · 11:00 PM UTC+2",69 attendees,No place left,https://www.meetup.com/topspin-the-new-york-ping-pong-meetup-group/events/285916242,69
May Classics Watch Party - The African Queen,"The Morristown Movie & Dining (and More) Meetup Group! • Morristown, NJ","MON, MAY 23 · 1:00 AM UTC+2",9 attendees,No place left,https://www.meetup.com/movies-594/events/285441946,9
The Violin Conspiracy by Brendan Slocumb - Book Discussion,"Not Your Bubbe’s Book Club • Merrick, NY","MON, MAY 23 · 1:00 AM UTC+2",13 attendees,No place left,https://www.meetup.com/meetup-group-vIEJNjur/events/284759980,13
Virtual Parliamentarians: Get Your Questions Answered on Parliamentary Procedure,"VPs Parliamentary Procedure Study Group • New York, NY","MON, MAY 23 · 2:00 AM UTC+2",3 attendees,No place left,https://www.meetup.com/virtual-parliamentarians-study-group/events/284040264,3
Webinar: Stan Uryasev - Drawdown Beta and Portfolio Optimization,"The Thalesians • New York, NY","MON, MAY 23 · 6:30 PM UTC+2",56 attendees,No place left,https://www.meetup.com/thalesians/events/285846682,56
"AMALFI VIRTUAL WALKING TOUR - The Pearl of the Amalfi Coast, Italy","Italy Virtual Tours: Art, Culture & Beauty • New York, NY","MON, MAY 23 · 7:00 PM UTC+2",35 attendees,No place left,https://www.meetup.com/italy-virtual-tours/events/285492351,35
